company_name,city,trade,entity_type,staff_est,phone,email,website,hook,personalization_nl,source_url,verify_before_cold
"Loodgieters & Installatiebedrijf W.J. van der Herp B.V.","Den Haag","loodgieter","BV","10-19","070-3452500","info@vanderherp.nl","vanderherp.nl","Trustoo 7.7 / 24 reviews — laag voor een bedrijf sinds 1946; geen online afspraak; geen 24/7-lijn zichtbaar; openingstijden niet vermeld","Van der Herp heeft ruim 75 jaar staat van dienst, maar op Google en Trustoo staan maar 24 beoordelingen — dat weerspiegelt uw reputatie niet. We helpen u dat automatisch recht te trekken na elke klus, zonder extra werk voor uw mensen.","https://www.vanderherp.nl/over-ons",""
"L van der Wiel b.v.","Den Haag","loodgieter","BV","10-19","070-3914664","info@lvanderwielbv.nl","lvanderwielbv.nl","Geen na-kantooruren-lijn op site, geen online afspraak, Trustoo 8.1 maar gering reviewvolume voor >60 jaar ervaring","Met meer dan 60 jaar ervaring in Den Haag verdient u meer dan een handvol reviews online. Klantkraan stuurt na elke afgeronde klus automatisch een reviewverzoek — geen gedoe voor uw monteurs.","https://www.lvanderwielbv.nl",""
"Gas en Sanitair Installatie Bureau P.H. Frauenfelder B.V.","Den Haag","loodgieter","BV","20-49","070-3254440","info@phfrauenfelder.nl","phfrauenfelder.nl","Geen 24/7-lijn vermeld, geen online afspraakmogelijkheid, geen WhatsApp; gevestigd 1944 maar reviewprofiel niet zichtbaar op eigen site","Frauenfelder bestaat al sinds 1944 en werkt voor particulieren en zakelijk — maar wie belt buiten kantooruren bereikt niemand. Klantkraan vangt die gesprekken op en stuurt binnen 5 minuten een sms terug.","https://www.phfrauenfelder.nl/contact",""
"Technisch Bureau W. Janssen B.V.","Den Haag","loodgieter","BV","onbekend","070-3461280","info@wjanssen.nl","wjanssen.nl","Kantooruren ma-vr 8-17, geen 24/7 of storingslijn zichtbaar; WhatsApp aanwezig maar geen geautomatiseerde opvolging; bijna 90 jaar oud, beperkt reviewvolume online","Bijna 90 jaar loodgieterswerk in Den Haag, maar wie u buiten kantoortijd belt krijgt geen antwoord. We regelen dat u toch bereikbaar lijkt — de AI-telefoniste neemt op, u belt zelf terug wanneer het uitkomt.","https://wjanssen.nl",""
"Derwort Loodgieters B.V.","Delft","loodgieter","BV","onbekend","015-2125046","info@derwort.nu","derwort.nu","Google 4.4 / ~134 reviews — solide, maar geen online afspraak vermeld en spoed alleen via telefoon; geen WhatsApp zichtbaar","Derwort scoort goed op Google, maar voor spoedmeldingen buiten kantooruren (8-16:30) is er geen zichtbare opvang. Een gemiste oproep op vrijdagmiddag is een klant die naar de concurrent gaat.","https://www.derwort.nu/contact",""
"W.A. Kuijpers B.V.","Delft / Rijswijk","loodgieter","BV","5-9","015-2570290","info@wakuijpers.nl","wakuijpers.nl","Trustoo 7.7, oprichting 1935 maar weinig reviews voor die ouderdom; geen online afspraak; e-mail spambeveiligd; geen WhatsApp","Kuijpers heeft al bijna 90 jaar klanten in de regio Delft, maar op Trustoo staan er maar weinig beoordelingen. Reviewautomatisering na elke klus haalt die achterstand in een paar maanden in.","https://www.wakuijpers.nl/over-ons","e-mail verifiëren (spambeveiligd / afgeleid)"
"Andries Valkenburg Loodgieters & Verwarming B.V.","Delft / Delfgauw","loodgieter","BV","onbekend","015-3646170","info@valkenburgloodgieters.nl","valkenburgloodgieters.nl","Openingstijden ma-vr 9-12:30 en 13:30-17:00, geen na-kantoortijd opvang, geen WhatsApp, weinig reviews online; geen 24/7-lijn","Valkenburg is bereikbaar van 9 tot half één — wie na lunchtijd belt staat voor een gesloten deur. Klantkraan regelt dat een AI-telefoniste elke oproep aanneemt en u een terugbelverzoek stuurt.","https://valkenburgloodgieters.nl",""
"T.I.B. Verkuylen bv","Leiden","loodgieter","BV","onbekend","071-5223767","info@tib-verkuylen.nl","tib-verkuylen.nl","Kantooruren ma-vr 7:30-16:30, geen na-kantoortijdlijn, geen WhatsApp, slechts 9 reviews op Trustoo (8.4); familiebedrijf 1968 maar kleine digitale voetafdruk","Verkuylen is al meer dan 55 jaar actief in Leiden, maar op Trustoo staan negen beoordelingen. Na elke afgeronde klus een automatisch reviewverzoek tilt dat getal omhoog — zonder dat uw team er iets voor doet.","https://www.tib-verkuylen.nl/contact",""
"A. Barendse & Zn. B.V.","Leiden","loodgieter","BV","10-19","071-5233239","info@barendseleiden.nl","barendseleiden.nl","Google 4.3 / 11 reviews — opvallend laag reviewvolume voor 65 jaar geschiedenis; geen WhatsApp; 24/7 vermeld maar geen chatopvang","Barendse staat op Google op 4.3 met maar 11 zichtbare beoordelingen — terwijl klanten u wél positief beoordelen elders. Wij activeren die stille tevreden klanten met een geautomatiseerd sms-verzoek direct na de klus.","https://barendseleiden.nl",""
"Warmtetechnisch Bureau Joop Buiteman B.V.","Leiden","loodgieter","BV","36","071-5794050","info@buiteman.nl","buitemanleiden.nl","24/7-telefooncentrum aanwezig maar geen WhatsApp-capture, geen automatische reviewopvolging zichtbaar; groot bedrijf (36) met veel klusvolume","Met 36 monteurs op de weg laat Buiteman elke dag reviewkansen liggen. Een geautomatiseerd sms-verzoek na afsluiting van elke klus zet die stille klanten in beweging — zonder extra werk voor uw planners.","https://www.buitemanleiden.nl/contact/",""
"Vermeulen B.V. Loodgietersbedrijf","Gouda","loodgieter","BV","onbekend","0182-522276","opdrachten@bol-vermeulen.nl","bol-vermeulen.nl","Trustoo 7.9 / 41 reviews — redelijk, maar geen na-kantoortijdlijn zichtbaar, geen WhatsApp, responstijden niet gemarkeerd","Vermeulen staat op 7.9 bij Trustoo — net niet in de topband. De meeste installateurs die boven 9 scoren combineren dat met een geautomatiseerde reviewroutine na elke klus. Dat is de enige aanpassing die nodig is.","https://www.bol-vermeulen.nl/service/contact/","gedeelde site/eigendom met Bol B.V."
"Bol B.V. Installatietechniek","Gouda","loodgieter","BV","onbekend","0182-541041","planning@bol-vermeulen.nl","bol-vermeulen.nl","Gedeelde site met Vermeulen; 50-jarig jubileum 2025, afspraakformulier aanwezig, maar geen 24/7-lijn en geen WhatsApp-opvang","Bol Installatietechniek bestaat 50 jaar — een mooi moment om ook de digitale bereikbaarheid na kantoortijd op orde te brengen. Een gemiste oproep op vrijdagavond kost u een klant die via Google de volgende vindt.","https://www.bol-vermeulen.nl/service/contact/","gedeelde site/eigendom met Vermeulen B.V."
"Dekker Installatietechniek B.V.","Gouda","loodgieter","BV","onbekend","0182-686300","info@dekkerinstallatietechniek.eu","dekkerinstallatietechniek.eu","24/7-storingsdienst vermeld maar geen WhatsApp, geen online afspraak, reviewprofiel minimaal zichtbaar, website copyright 2017 (verouderd)","De website van Dekker is al jaren niet vernieuwd en op de reviewplatforms is het bedrijf nauwelijks zichtbaar. Dat remt nieuwe klanten — een automatisch reviewverzoek na elke storing lost dat snel op.","https://www.dekkerinstallatietechniek.eu",""
"Installatie Service Amsterdam (ISA Loodgieters)","Amsterdam","loodgieter","likely-BV","onbekend","020-688 56 29","info@isa-loodgieters.nl","isa-loodgieters.nl","Sterke reviews (322 x 4.8) maar geen online afspraakmodule; geen WhatsApp; geen zichtbare terugbelservice","U heeft een van de sterkste reputaties in Amsterdam met 322 beoordelingen. Klantkraan helpt die reputatie verzilveren door iedere gemiste beller automatisch op te volgen — geen lead gaat meer verloren.","https://isa-loodgieters.nl","verifieer rechtsvorm via KvK (65267079)"
"Hennink Installatietechniek B.V.","Den Haag","loodgieter","likely-BV","onbekend","0900-0105","onbekend","hennink.info","Gemiddelde 6.8 / 84 beoordelingen — onder de branchestandaard van 8.6; beperkte bereikbaarheid buiten kantooruren (stopt 22:00); geen WhatsApp; geen online afspraak","Op Klantenvertellen staat Hennink op 6.8 gemiddeld — een stuk lager dan vergelijkbare installateurs in Den Haag. Een geautomatiseerd opvolgproces na elke klus is vaak al genoeg om dat getal te keren.","https://hennink.info","verifieer rechtsvorm + e-mail (spambeveiligd)"
"Loodgieter Rotterdam 24","Rotterdam","loodgieter","unknown","onbekend","06-4940 5806","info@loodgieterrotterdam24.nl","loodgieterrotterdam24.nl","240+ reviews en 4.8 — sterke reputatie, maar geen online afspraakplanning; WhatsApp aanwezig maar geen geautomatiseerde opvolging","U heeft al een uitstekende reputatie opgebouwd met 240+ beoordelingen. Klantkraan helpt die omzetten in nog meer klanten door iedere gemiste oproep automatisch op te volgen per sms — ook buiten kantooruren.","https://loodgieterrotterdam24.nl","verifieer KvK 94149860 (mogelijk eenmanszaak) — niet koud benaderen tot bevestigd"
"Van Gelder Utrecht","Utrecht","loodgieter","unknown","onbekend","030-280 80 60","info@vangelder-utrecht.nl","vangelder-utrecht.nl","Geen Google-beoordelingen zichtbaar; geen WhatsApp; site vermeldt geen online afspraak; waarschuwing voor naamgenoot-concurrent toont kwetsbare online positie","Een valse naamgenoot ondermijnt uw reputatie online — extra reden om actief Google-reviews te verzamelen zodat klanten meteen zien wie de echte Van Gelder is. Klantkraan vraagt na iedere klus automatisch een beoordeling aan.","https://www.vangelder-utrecht.nl/","verifieer KvK (mogelijk eenmanszaak) — niet koud benaderen tot bevestigd"
"Direct Loodgietersbedrijf","Utrecht","loodgieter","unknown","onbekend","06-392 22 443","info@directloodgietersbedrijf.nl","directloodgietersbedrijf.nl","Claimt 5 sterren maar toont geen reviewaantal; WhatsApp aanwezig maar geen geautomatiseerde terugbelflow; geen online agenda","U heeft WhatsApp al en dat is goed — maar zonder automatische opvolgflow raken leads weg als u druk bent. Klantkraan koppelt uw inkomende gesprekken aan een sms-flow die de klant vasthoudt totdat u terugbelt.","https://www.directloodgietersbedrijf.nl","verifieer KvK (mogelijk eenmanszaak) — niet koud benaderen tot bevestigd"
"Loodgieter Utrecht (loodgieter-utrecht.com)","Utrecht","loodgieter","unknown","onbekend","030-781 01 60","info@loodgieter-utrecht.com","loodgieter-utrecht.com","4.6 — net onder de 4.7 drempel die lokale positionering sterk verbetert; geen WhatsApp; geen afspraakmodule","Met 4.6 sterren zit u net onder de drempel waarbij Google Lokaal uw bedrijf prominent toont. Klantkraan stuurt na iedere klus automatisch een reviewverzoek waarmee u die laatste punten ophaalt.","https://loodgieter-utrecht.com","verifieer KvK (mogelijk eenmanszaak) — niet koud benaderen tot bevestigd"
"Loodgietersbedrijf Utrecht (loodgietersbedrijfutrecht.nl)","Utrecht","loodgieter","unknown","onbekend","06-365 63 273","info@loodgietersbedrijfutrecht.nl","loodgietersbedrijfutrecht.nl","KvK 96496290 maar entity-type onbevestigd; 241+ reviews 4.9 — maar alleen mobiel nummer, geen online afspraak, geen WhatsApp","Met 241 beoordelingen en een 4.9-gemiddelde bent u een van de best beoordeelde loodgieters in Utrecht. Klantkraan zorgt dat geen enkele beller tussen wal en schip valt, ook als u op de ladder staat.","https://loodgietersbedrijfutrecht.nl/","verifieer KvK 96496290 (mogelijk eenmanszaak) — niet koud benaderen tot bevestigd"
"VDP Dakbedekking B.V.","Rotterdam (Hoogvliet)","dakdekker","BV","2-5","010 766 0028","info@vdpdakbedekking.nl","vdpdakbedekking.nl","Telefoon uitsluitend voor informatie, geen offertes; kantoor sluit om 16:00; geen after-hours lijn; WhatsApp aanwezig maar niet voor aanvragen","Opgevallen dat uw site aangeeft dat u telefonisch geen offertes opneemt — wie 's avonds belt na een lekkage krijgt niets en gaat naar een concurrent. Klantkraan vangt die bellers op en stuurt direct een sms-terugbelverzoek.","https://www.vdpdakbedekking.nl/contact",""
"Dakreparatie Nederland B.V.","Rotterdam","dakdekker","BV","2-5","010 600 12 10","onbekend","rotterdam-dakdekker.nl","Geen e-mailadres zichtbaar op site; 24/7 spoedservice claim maar geen apart spoednummer of WhatsApp; geen Google reviews vermeld","U presenteert een 24/7 spoedservice maar er is geen sms-bevestiging of WhatsApp voor bellers die uw lijn niet halen. Klantkraan vult dat gat zonder dat u extra personeel inzet.","https://rotterdam-dakdekker.nl",""
"Duckdekker B.V.","Den Haag","dakdekker","BV","5-10","070 204 2210","info@duckdekker.nl","duckdekker.nl","Kantoor sluit om 17:00 (za op afspraak, zo gesloten); geen after-hours spoednummer; geen WhatsApp; testimonials aanwezig maar geen Google-reviewkoppeling","Uw openingstijden eindigen om 17:00 maar stormschade belt ook in het weekend. Een automatische opvanglaag met sms stuurt die aanvragen naar u door zodra u weer beschikbaar bent — zonder dat u een nachtdienst hoeft te draaien.","https://www.duckdekker.nl",""
"MD Dak & Klusbedrijf B.V.","Utrecht","dakdekker","BV","2-5","085-7600723","info@dakdekkerutrechtbv.nl","dakdekkerutrechtbv.nl","Claimen 24/7 bereikbaar maar geen WhatsApp en geen sms-opvang zichtbaar; geen Google reviews vermeld; site sober en verouderd","U adverteert dag-en-nacht bereikbaarheid, maar een telefonische 24/7-lijn is duur om zelf te bemensen. Klantkraan regelt dat automatisch en stuurt bij gemiste calls meteen een sms — voor een fractie van de kosten van een nachtopvang.","https://www.dakdekkerutrechtbv.nl",""
"AJ Dakwerken B.V.","Hilversum / Utrecht-regio","dakdekker","BV","5-10","035-772 0410","info@ajdakwerken.nl","ajdakwerken.nl","108 Google-reviews (uitstekend); geen WhatsApp; geen after-hours vermelding; eigen showroom (hoge acquisitie-investering) maar telefonische opvang onduidelijk","Met 108 reviews en een eigen showroom heeft u meer in acquisitie geïnvesteerd dan de meeste dakdekkers — maar wie buiten kantooruren belt en geen gehoor krijgt, gaat toch naar de concurrent. Klantkraan houdt die beller vast.","https://www.ajdakwerken.nl/contact",""
"Dak Garantie Amsterdam B.V.","Amsterdam","dakdekker","BV","5-10","020 244 3978","info@dakgarantieamsterdam.nl","dakgarantieamsterdam.nl","3 vestigingen maar slechts 1 telefoonnummer; geen WhatsApp; 24-uur service claim zonder apart spoednummer; TrustIndex-widget aanwezig","Drie vestigingen en één telefoonnummer — als die lijn bezet is mist u aanvragen van meerdere stadsdelen tegelijk. Klantkraan fungeert als stille tweede lijn en stuurt gemiste bellers direct een terugbel-sms.","https://www.dakgarantieamsterdam.nl/contact",""
"Buddingh Dakdekkersbedrijf B.V.","Amsterdam","dakdekker","BV","2-5","020 611 3446","info@buddingh-dak.nl","buddingh-dak.nl","Geen offerteformulier op site; geen Google reviews; geen WhatsApp; 40+ jaar oud bedrijf met minimale online aanwezigheid","Veertig jaar vakmanschap verdient meer dan een telefoonnummer als enig online contactpunt — geen form, geen WhatsApp, geen reviews. Klantkraan voegt een directe terugbelservice en geautomatiseerde reviewverzoeken toe zonder dat u uw werkwijze hoeft te veranderen.","https://www.buddingh-dak.nl/contact",""
"DV Dakdekkers B.V.","Amsterdam","dakdekker","BV","2-5","085 060 9355","info@dvdakdekkers.nl","dvdakdekkers.nl","50+ Google-reviews (5.0 — uitstekend); WhatsApp aanwezig; 24u claim; lopende 10%-kortingsactie wijst op prijsdruk en behoefte aan meer aanvragen","Met een perfecte 5.0-score loopt u op reviews voor op bijna iedereen — maar een kortingsactie trekt ook prijskopers aan. Klantkraan helpt u sneller te reageren op serieuze aanvragen zodat u op kwaliteit kunt concurreren in plaats van op prijs.","https://dvdakdekkers.nl",""
"JHF Bouw B.V.","Amsterdam","dakdekker","BV","2-5","020 213 6006","onbekend","dakdekker-amsterdam.nl","Geen e-mailadres zichtbaar; geen WhatsApp; 24/7 spoedservice maar geen apart spoednummer; geen Google reviews vermeld; kantoor ma-vr 07:30-16:00","U heeft een spoedservice maar geen zichtbare e-mail of WhatsApp — klanten die na 16:00 bellen en u niet bereiken verdwijnen naar een concurrent. Klantkraan neemt die gemiste call op en stuurt direct een sms-terugbelverzoek.","https://www.dakdekker-amsterdam.nl/contact",""
"Van der Wijck Daktechniek","Utrecht","dakdekker","likely-BV","5-10","085 401 3167","info@vanderwijckschoorsteenendak.nl","vdwdakdekker.nl","24/7 claim aanwezig; meerdere vestigingen maar geen WhatsApp; 198 Google-reviews (4.7) — goed volume maar reviewverzoek lijkt manueel","Met bijna 200 reviews heeft u een sterke Googlepositie — maar er is geen WhatsApp of sms-opvang voor bellers buiten kantooruren. Klantkraan vult dat gat en vraagt na elke afgeronde klus automatisch om een nieuwe review.","https://www.vdwdakdekker.nl/contact","verifieer rechtsvorm via KvK (81212755)"
"B&G Onderhoud","Utrecht","dakdekker","likely-BV","25+","06 81 61 28 70","info@bgonderhoud.nl","bgonderhoud.nl","Bereikbaar tot 22:00 maar niet 24/7; Trustoo-score (10/10) vermeld maar geen Google-reviewkoppeling; geen WhatsApp","U heeft al een hoge Trustoo-score, maar Google-reviews tellen zwaarder voor nieuwe klanten. Klantkraan vraagt na elke klus automatisch om een Google-review en vangt nachtelijke stormmeldingen op — zodat u geen Trustoo-abonnement nodig heeft voor social proof.","https://www.bgonderhoud.nl","verifieer rechtsvorm via KvK (93469896)"
"Kewodak Dakmakers","Alphen aan den Rijn (Leiden-regio)","dakdekker","likely-BV","5-10","0172 438 332","onbekend","kewodak.nl","40+ jaar oud; 96% aanbevelingsscore maar geen e-mail zichtbaar op site; geen WhatsApp; 24/7 calamiteitenservice uitbesteed aan aparte site (dakmakers.nl)","Met 40 jaar ervaring en een sterke aanbevelingsscore weet u hoe u klanten tevreden houdt — maar wie uw kantoor belt voor een calamiteit en doorgestuurd wordt naar een andere site, haakt af. Klantkraan vangt die calls direct op.","https://www.kewodak.nl/contact","verifieer rechtsvorm via KvK (27330935)"
"Haagsche Dakwerken","Den Haag","dakdekker","unknown","2-5","070 762 0032","info@haagschedakwerken.nl","haagschedakwerken.nl","Geen rechtsvorm gepubliceerd; meerdere offerteformulieren maar geen WhatsApp; geen Google-reviews; noodreparaties vermeld maar geen dedicated after-hours lijn","U adverteert noodreparaties, maar bellers die buiten kantooruren bellen en geen gehoor krijgen horen niets terug. Klantkraan neemt de call over en stuurt direct een sms-bevestiging zodat de klant weet dat u eraan komt.","https://www.haagschedakwerken.nl","verifieer KvK (mogelijk eenmanszaak) — niet koud benaderen tot bevestigd"
"Dakdekkersbedrijf Leiden","Leiden","dakdekker","unknown","2-5","085 800 9748","info@dakdekkersleiden.nl","dakdekkersleiden.nl","Rechtsvorm onbekend; geen Google reviews; homepage verbergt telefoonnummer achter contactknop; 24/7-claim zonder zichtbaar bewijs","Uw telefoonnummer is niet direct zichtbaar op de homepage — een klant in paniek klikt dan door naar een concurrent die duidelijker is. Klantkraan maakt uw bereikbaarheid aantoonbaar en bevestigt elke binnenkomende melding met een sms.","https://www.dakdekkersleiden.nl/contact","verifieer KvK (mogelijk eenmanszaak) — niet koud benaderen tot bevestigd"
"Dakdekker Amsterdam","Amsterdam","dakdekker","unknown","2-5","06 20 59 23 48","info@dakdekkeramsterdam.nl","dakdekkeramsterdam.nl","Geen telefoonnummer op homepage (alleen e-mail + form); geen Google reviews; 24/7-claim zonder dedicated spoednummer of WhatsApp","Uw 24/7-belofte staat op de site maar het telefoonnummer staat pas op de contactpagina — een beller met een lekkage geeft het op voor ze zover zijn. Klantkraan biedt een directe opvanglijn zodat die klant u wél bereikt.","https://www.dakdekkeramsterdam.nl/contact","verifieer KvK (mogelijk eenmanszaak) — niet koud benaderen tot bevestigd"
